External ID,Issue Type,Summary,Description,Parent External ID,BA Path
EP-01,Epic,Vận hành phiên chụp tại booth khi mất mạng,"Mục tiêu: Đảm bảo khách thanh toán, chụp, xử lý và in tại booth; bảo toàn phiên khi thiết bị hoặc kết nối gặp lỗi.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-02,Epic,Quản lý tài khoản và kích hoạt thiết bị theo tổ chức,"Mục tiêu: Phân tách khách hàng thương mại, đăng ký booth đúng chủ sở hữu và kiểm soát quyền truy cập.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-03,Epic,Giám sát booth và xử lý sự cố từ xa,"Mục tiêu: Theo dõi trạng thái, phiên bản thực tế và lịch sử thao tác của từng booth với dữ liệu có thời điểm xác minh.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-04,Epic,Kinh doanh bản quyền và dịch vụ trả phí,"Mục tiêu: Hỗ trợ thuê, mua vĩnh viễn và dịch vụ bổ sung; đối soát thanh toán và quyền sử dụng rõ ràng.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-05,Epic,"Tạo và phân phối công thức màu, khung ảnh","Mục tiêu: Cho phép tạo màu bằng AI, tinh chỉnh và phát hành nội dung tương thích tới đúng booth.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-06,Epic,Phân phối và cập nhật phần mềm booth có kiểm soát,"Mục tiêu: Quản lý bộ cài, phiên bản, rollout và khôi phục mà không gián đoạn phiên đã trả tiền.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
EP-07,Epic,Giao ảnh qua QR và bảo vệ quyền truy cập,"Mục tiêu: Cung cấp file đúng phiên, hiển thị tình trạng giao file và giới hạn truy cập theo chính sách.

Phạm vi BA draft. Chính sách chưa chốt cần được duyệt trước triển khai thương mại.

Nguồn: docs/ba/README.md",,docs/ba/README.md
BTH-01,Story,Kích hoạt booth để gắn thiết bị với giấy phép,"**Mục tiêu:** Gắn bản cài Windows với đúng tổ chức và một quyền sử dụng còn khả dụng.

**Phạm vi:**
* Xác minh mã: Hiển thị đúng tổ chức, sản phẩm và khả năng cấp seat.
* Kích hoạt: Ràng buộc thiết bị; tải quyền đã ký; mở BTH-02.

**Nghiệm thu:**
* Given mã hợp lệ và còn seat; When xác nhận kích hoạt; Then portal thấy một booth mới cùng Device ID và booth chuyển sang cấu hình.
* Given máy chủ đã cấp thiết bị nhưng phản hồi bị mất; When gửi lại request ID; Then không tạo booth hoặc chiếm seat lần hai.
* Given máy chưa kích hoạt và mất mạng; When mở ứng dụng; Then UI không cho vào luồng nhận tiền.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-02, D-03.
**Phụ thuộc:** SVC-01, SVC-02.
**BA:** docs/ba/screens/bth-01.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/bth-01.md
BTH-02,Story,Kiểm tra thiết bị để xác nhận booth sẵn sàng phục vụ,"**Mục tiêu:** Chọn camera, máy in, bộ nhận tiền và xác minh khả năng phục vụ trước khi mở bán.

**Phạm vi:**
* Chụp thử / in thử: Tạo ảnh/test job riêng, không tính là doanh thu.
* Mở booth: Chuyển sang BTH-03.

**Nghiệm thu:**
* Given camera không sẵn sàng; When chọn mở booth; Then UI giải thích điều kiện bị thiếu và không cho nhận tiền.
* Given có phiên trả tiền đang chạy; When đổi queue máy in; Then thao tác bị chặn đến khi kết thúc hoặc xử lý phiên.
* Given test in đã gửi nhưng chưa rõ kết quả; When mở lại trang; Then trạng thái giữ là cần kiểm tra, không tự gửi lại.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-07, D-08, D-11.
**Phụ thuộc:** SVC-09.
**BA:** docs/ba/screens/bth-02.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-02.md
BTH-03,Story,Hiển thị màn hình chào để bắt đầu phiên chụp,"**Mục tiêu:** Cho khách biết booth có thể phục vụ và bắt đầu một phiên mới.

**Phạm vi:**
* Bắt đầu chụp: Tạo phiên mới và mở BTH-04.
* Hỗ trợ: Hiện cách liên hệ phù hợp tại booth.

**Nghiệm thu:**
* Given phiên trước đã kết thúc; When màn hình chào xuất hiện; Then không hiển thị ảnh hay token của phiên trước.
* Given mất mạng nhưng các điều kiện local hợp lệ; When khách bắt đầu; Then vẫn vào chọn gói.
* Given máy in không thể phục vụ; When khách nhìn màn hình chào; Then nút bắt đầu bị vô hiệu hóa và có hướng dẫn.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-03, D-06, D-10.
**Phụ thuộc:** SVC-02, SVC-09.
**BA:** docs/ba/screens/bth-03.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-03.md
BTH-04,Story,Cho chọn gói và màu để xác nhận sản phẩm trước thanh toán,"**Mục tiêu:** Chọn sản phẩm, số bản in và công thức màu trước khi xác nhận giá phiên.

**Phạm vi:**
* Chọn gói/màu: Cập nhật tóm tắt và số tiền.
* Tiếp tục thanh toán: Chốt snapshot giá và nội dung cho phiên, mở BTH-05.

**Nghiệm thu:**
* Given recipe mới chưa tải xong; When mở danh sách; Then recipe đó không được chọn cho phiên.
* Given giá cấu hình thay đổi sau khi đã sang thanh toán; When nhận tiền; Then phiên vẫn dùng snapshot giá đã xác nhận.
* Given chưa chọn gói; When bấm tiếp tục; Then UI chỉ rõ lựa chọn còn thiếu.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-04, D-08, D-09.
**Phụ thuộc:** SVC-05, SVC-09.
**BA:** docs/ba/screens/bth-04.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-04.md
BTH-05,Story,Ghi nhận tiền tại booth để mở phiên chụp hợp lệ,"**Mục tiêu:** Nhận tiền cho phiên chụp và cho khách biết chính xác số tiền đã nhận/còn thiếu.

**Phạm vi:**
* Nhận tiền: Ghi nhận tiền và cập nhật số còn thiếu.
* Yêu cầu hỗ trợ: Giữ bằng chứng; gọi hướng xử lý thay vì hứa hoàn tiền tự động.

**Nghiệm thu:**
* Given cùng sự kiện nhận tiền được giao lại; When xử lý; Then credit chỉ tăng một lần theo cơ chế định danh đã kiểm chứng.
* Given đủ tiền đã được ghi bền vững; When UI được mở lại; Then khách không phải trả lại từ đầu.
* Given khả năng trả lại tiền chưa được cấu hình; When hiển thị thanh toán; Then không có lời hứa trả lại tự động.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-04, D-07.
**Phụ thuộc:** SVC-09.
**BA:** docs/ba/screens/bth-05.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-05.md
BTH-06,Story,Điều khiển live view và chụp để lưu đủ ảnh của phiên,"**Mục tiêu:** Giúp khách chuẩn bị tư thế và chụp đủ ảnh theo gói đã thanh toán.

**Phạm vi:**
* Sẵn sàng chụp: Đếm ngược và trigger một lần.
* Chụp lại: Tạo lần chụp mới có theo dõi, không xóa bằng chứng cũ âm thầm.

**Nghiệm thu:**
* Given khách chạm nút hai lần; When bước chụp đang thực hiện; Then chỉ có một lệnh capture cho bước đó.
* Given camera đã ngắt; When mở live view; Then có trạng thái mất kết nối thay vì hình cũ được gắn nhãn live.
* Given chưa nhận được file hợp lệ; When camera báo đã trigger; Then UI không tính ảnh đó là đã lưu thành công.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-07, D-08, D-11.
**Phụ thuộc:** SVC-09.
**BA:** docs/ba/screens/bth-06.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-06.md
BTH-07,Story,Cho chọn ảnh để xác định nội dung bản in,"**Mục tiêu:** Chọn các ảnh dùng cho sản phẩm theo giới hạn của gói.

**Phạm vi:**
* Chọn/bỏ chọn: Cập nhật đánh dấu rõ ràng.
* Tiếp tục: Mở BTH-08 với các ảnh đã chọn.

**Nghiệm thu:**
* Given chọn chưa đủ số ảnh; When bấm tiếp tục; Then UI nêu số còn thiếu và giữ lựa chọn.
* Given quay lại từ làm đẹp; When danh sách mở; Then lựa chọn trước đó được giữ.
* Given ảnh thuộc phiên khác; When truy vấn danh sách; Then ảnh đó không xuất hiện.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-08, D-10.
**Phụ thuộc:** SVC-09.
**BA:** docs/ba/screens/bth-07.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-07.md
BTH-08,Story,Cho chỉnh làm đẹp để khách duyệt ảnh sau chụp,"**Mục tiêu:** Điều chỉnh mức làm đẹp và xem trước kết quả mà không mất ảnh gốc.

**Phạm vi:**
* Điều chỉnh: Tạo yêu cầu preview giới hạn tài nguyên.
* Tiếp tục: Lưu thông số và sang BTH-09.

**Nghiệm thu:**
* Given khách đổi slider trong khi job cũ chạy; When job cũ trả kết quả sau; Then nó không ghi đè preview revision mới.
* Given mất mạng; When chọn mức làm đẹp; Then pipeline được hỗ trợ vẫn chạy tại booth.
* Given đặt lại; When xác nhận; Then original không đổi và thông số beauty trở về mức đã định nghĩa.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-08, D-09, D-11.
**Phụ thuộc:** SVC-08, SVC-09.
**BA:** docs/ba/screens/bth-08.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-08.md
BTH-09,Story,Cho chọn khung và xác nhận để gửi đúng bản in,"**Mục tiêu:** Xem chính xác bố cục, crop và số bản trước thao tác in khó đảo ngược.

**Phạm vi:**
* Chọn khung: Tạo preview đúng bố cục.
* Xác nhận in: Ghi ý định in một lần, mở BTH-10.

**Nghiệm thu:**
* Given xác nhận in bị chạm hai lần; When UI xử lý; Then chỉ tạo một print intent.
* Given ảnh xuất chưa render xong; When xem CTA; Then nút xác nhận chưa được bật.
* Given khung sai khổ giấy; When mở danh sách; Then khung không được chọn như một lựa chọn hợp lệ.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-08, D-09.
**Phụ thuộc:** SVC-05, SVC-09.
**BA:** docs/ba/screens/bth-09.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-09.md
BTH-10,Story,Theo dõi kết quả in để xử lý lỗi và tránh in trùng,"**Mục tiêu:** Cho khách biết đang xử lý, đã gửi hay đã xác nhận in xong; hỗ trợ khi không rõ kết quả.

**Phạm vi:**
* Nhận file: Mở BTH-11 và vẫn giữ trạng thái in thật.
* Gọi hỗ trợ: Hiện mã phiên; đưa incident vào BTH-12.

**Nghiệm thu:**
* Given chỉ có xác nhận từ spooler; When cập nhật màn hình; Then không gắn nhãn giấy đã in xong.
* Given restart sau khi gửi lệnh; When phục hồi; Then job giữ trạng thái cần kiểm tra và không được submit lại tự động.
* Given Internet mất nhưng printer vẫn hoạt động; When in; Then luồng in không phụ thuộc cloud.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-08.
**Phụ thuộc:** SVC-09.
**BA:** docs/ba/screens/bth-10.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-10.md
BTH-11,Story,Hiển thị QR để giao file và kết thúc phiên an toàn,"**Mục tiêu:** Nhận file đúng phiên và kết thúc mà không để lộ ảnh cho khách kế tiếp.

**Phạm vi:**
* Hiện QR: Gắn nhãn đúng trạng thái.
* Kết thúc: Xóa nội dung khách khỏi màn hình và mở BTH-03.

**Nghiệm thu:**
* Given chưa upload xong; When mở màn hình; Then không hiện nhãn tải ngay cho một link chưa có file.
* Given bấm kết thúc; When khách mới tới; Then ảnh và QR phiên trước không còn trên UI.
* Given link đã sẵn sàng; When quét; Then chỉ truy cập bộ ảnh đúng phiên theo quyền token.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-06, D-10.
**Phụ thuộc:** SVC-07.
**BA:** docs/ba/screens/bth-11.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-07,docs/ba/screens/bth-11.md
